,Semana,Município,Focos,ponto
243,2012-07-29,SÃO MIGUEL DO OESTE,4,POINT (-53.51212123092325 -26.727236944731406)
244,2012-08-05,TIJUCAS,1,POINT (-48.70088637061579 -27.247563296595885)
245,2012-08-05,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
246,2012-08-05,PINHALZINHO,2,POINT (-52.97663206995043 -26.829373480377633)
247,2012-08-05,NAVEGANTES,1,POINT (-48.72739585880501 -26.82874286660231)
248,2012-08-05,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
249,2012-08-05,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
250,2012-08-05,CONCÓRDIA,9,POINT (-52.00738181173657 -27.23912654780915)
251,2012-08-05,GARUVA,1,POINT (-48.86732766109188 -26.05711167861282)
252,2012-08-05,CHAPECÓ,10,POINT (-52.6503387011512 -27.125143757264095)
253,2012-08-05,BOMBINHAS,2,POINT (-48.51748707787348 -27.17325633187103)
254,2012-08-12,CAMPO ALEGRE,1,POINT (-49.21753924216807 -26.120556487743215)
255,2012-08-12,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
256,2012-08-19,MASSARANDUBA,1,POINT (-48.98819178964745 -26.626911300757143)
257,2012-08-19,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
258,2012-08-19,CHAPECÓ,8,POINT (-52.6503387011512 -27.125143757264095)
259,2012-08-26,CHAPECÓ,3,POINT (-52.6503387011512 -27.125143757264095)
260,2012-08-26,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
261,2012-09-02,SAUDADES,1,POINT (-53.04001442530173 -26.89720679402398)
262,2012-09-02,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
263,2012-09-02,PORTO UNIÃO,1,POINT (-51.00778459817214 -26.38362840601625)
264,2012-09-02,PINHALZINHO,4,POINT (-52.97663206995043 -26.829373480377633)
265,2012-09-02,PALHOÇA,1,POINT (-48.66170819531588 -27.77182146966105)
266,2012-09-02,MARAVILHA,1,POINT (-53.19811282877847 -26.759973577360107)
267,2012-09-02,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
268,2012-09-02,FLORIANÓPOLIS,16,POINT (-48.50819805014117 -27.577833913876493)
269,2012-09-02,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
270,2012-09-02,CHAPECÓ,27,POINT (-52.6503387011512 -27.125143757264095)
271,2012-09-02,CAIBI,1,POINT (-53.26305757870258 -27.025175523184227)
272,2012-09-02,BIGUAÇU,1,POINT (-48.69394689806006 -27.433529852830816)
273,2012-09-02,JARAGUÁ DO SUL,4,POINT (-49.159974339900636 -26.481907693524388)
274,2012-09-09,CHAPECÓ,3,POINT (-52.6503387011512 -27.125143757264095)
275,2012-09-16,SÃO MIGUEL DO OESTE,2,POINT (-53.51212123092325 -26.727236944731406)
276,2012-09-16,CHAPECÓ,5,POINT (-52.6503387011512 -27.125143757264095)
277,2012-09-16,BLUMENAU,3,POINT (-49.09730924738388 -26.885766673711007)
278,2012-09-16,BRAÇO DO NORTE,1,POINT (-49.14236463397278 -28.240945450971008)
279,2012-09-23,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
280,2012-09-23,CHAPECÓ,5,POINT (-52.6503387011512 -27.125143757264095)
281,2012-09-23,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
282,2012-09-30,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
283,2012-09-30,BARRA VELHA,1,POINT (-48.72738559449102 -26.662440609824166)
284,2012-09-30,BOMBINHAS,2,POINT (-48.51748707787348 -27.17325633187103)
285,2012-09-30,CHAPECÓ,11,POINT (-52.6503387011512 -27.125143757264095)
286,2012-09-30,FLORIANÓPOLIS,10,POINT (-48.50819805014117 -27.577833913876493)
287,2012-09-30,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
288,2012-09-30,PINHALZINHO,1,POINT (-52.97663206995043 -26.829373480377633)
289,2012-10-07,POMERODE,1,POINT (-49.17330417894716 -26.728186239159662)
290,2012-10-07,PINHALZINHO,1,POINT (-52.97663206995043 -26.829373480377633)
291,2012-10-07,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
292,2012-10-07,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
293,2012-10-07,BALNEÁRIO CAMBORIÚ,1,POINT (-48.62174059290786 -27.004736811989282)
294,2012-10-07,INDAIAL,1,POINT (-49.224177687901346 -26.99497938110411)
295,2012-10-07,CHAPECÓ,15,POINT (-52.6503387011512 -27.125143757264095)
296,2012-10-07,ITAPEMA,1,POINT (-48.63442695278928 -27.10858334921313)
297,2012-10-14,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
298,2012-10-14,CHAPECÓ,12,POINT (-52.6503387011512 -27.125143757264095)
299,2012-10-21,CHAPECÓ,4,POINT (-52.6503387011512 -27.125143757264095)
300,2012-10-28,SÃO MIGUEL DO OESTE,2,POINT (-53.51212123092325 -26.727236944731406)
301,2012-10-28,PALHOÇA,1,POINT (-48.66170819531588 -27.77182146966105)
302,2012-10-28,CHAPECÓ,13,POINT (-52.6503387011512 -27.125143757264095)
303,2012-10-28,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
304,2012-10-28,LAGES,1,POINT (-50.34057306529381 -28.020467334528156)
305,2012-11-04,CHAPECÓ,7,POINT (-52.6503387011512 -27.125143757264095)
306,2012-11-04,FLORIANÓPOLIS,3,POINT (-48.50819805014117 -27.577833913876493)
307,2012-11-04,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
