Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 02/07/2022 a 31/12/2022,,,,,,
Atualizado em 27/06/2023,,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Nº Foco
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290747/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 290746/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290744/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290743/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 290742/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290741/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290740/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 290739/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290738/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290737/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290736/22
Blumenau,GUABIRUBA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290735/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290734/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290733/22
Blumenau,GUABIRUBA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290732/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290731/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290730/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290729/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290728/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290727/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290726/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290725/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290724/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290723/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290722/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290721/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290720/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290719/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290718/22
