Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,,
Período: de 01/08/2024 a 31/12/2024,,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 436715/24,Concórdia,PERITIBA,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,8,0,0,0,0
ARM 436712/24,Concórdia,PIRATUBA,CENTRO,Comércio,ARM - Armadilha,Armadilha,23/12/2024,26/12/2024,03/01/2025,20,0,0,0,0
ARM 436711/24,Concórdia,PIRATUBA,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,26/12/2024,03/01/2025,1,0,0,0,0
ARM 436710/24,Concórdia,IPIRA,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,70,0,0,0,0
ARM 436708/24,Concórdia,IPIRA,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,6,0,0,0,0
ARM 436707/24,Concórdia,IPIRA,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,33,0,0,0,0
ARM 436706/24,Concórdia,IPIRA,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,6,0,0,0,0
ARM 436703/24,Concórdia,ITÁ,CENTRO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,11,0,0,0,0
ARM 436702/24,Concórdia,ITÁ,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,26/12/2024,03/01/2025,1,0,0,0,0
ARM 436700/24,Concórdia,ITÁ,CENTRO,Comércio,ARM - Armadilha,Armadilha,23/12/2024,26/12/2024,03/01/2025,40,0,0,0,0
ARM 436699/24,Concórdia,IPIRA,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,27/12/2024,03/01/2025,26,0,0,0,0
ARM 436695/24,Concórdia,CONCÓRDIA,CACHIMBO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,10,0,0,0,0
ARM 436692/24,Concórdia,CONCÓRDIA,CACHIMBO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,11,0,0,0,0
ARM 436690/24,Concórdia,CONCÓRDIA,VILA JACOB BIEZUS,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,11,0,0,0,0
ARM 436688/24,Concórdia,CONCÓRDIA,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,10,0,0,0,0
ARM 436687/24,Blumenau,DOUTOR PEDRINHO,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,06/01/2025,07/01/2025,38,0,0,0,0
ARM 436686/24,Concórdia,CONCÓRDIA,FRAGOSOS,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,2,0,0,0,0
ARM 436685/24,Concórdia,CONCÓRDIA,ESTADOS,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,6,0,0,0,0
ARM 436678/24,Concórdia,CONCÓRDIA,JARDIM EUROPA,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,6,0,0,0,0
ARM 436677/24,Blumenau,BENEDITO NOVO,CENTRO,Outros,ARM - Armadilha,Armadilha,31/12/2024,06/01/2025,07/01/2025,60,0,0,0,0
ARM 436676/24,Blumenau,BENEDITO NOVO,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,06/01/2025,07/01/2025,2,0,5,0,0
ARM 436674/24,Concórdia,CONCÓRDIA,COLIBRI,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,1,0,0,0,0
ARM 436671/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,10,0,0,0,0
ARM 436667/24,Concórdia,CONCÓRDIA,SÃO CRISTOVÃO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,10,0,0,0,0
ARM 436662/24,Concórdia,CONCÓRDIA,SÃO CRISTÓVÃO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,8,0,0,0,0
ARM 436650/24,Concórdia,CONCÓRDIA,ALIANÇA,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,19,0,0,0,0
ARM 436648/24,Concórdia,CONCÓRDIA,POENTE DO SOL,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,20,0,0,0,0
ARM 436647/24,Concórdia,CONCÓRDIA,PETRÓPOLIS,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,2,0,0,0,0
ARM 436645/24,Concórdia,CONCÓRDIA,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,18,0,0,0,0
ARM 436644/24,Concórdia,CONCÓRDIA,SANTA CRUZ,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,6,0,0,0,0
ARM 436643/24,Concórdia,CONCÓRDIA,SANTA CRUZ,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,20,0,0,0,0
ARM 436642/24,Concórdia,CONCÓRDIA,VISTA ALEGRE,Residência,ARM - Armadilha,Armadilha,23/12/2024,27/12/2024,03/01/2025,7,0,0,0,0
ARM 436637/24,Concórdia,CONCÓRDIA,ARVOREDO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,8,0,0,0,0
ARM 436635/24,Concórdia,CONCÓRDIA,ARVOREDO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,10,0,0,0,0
ARM 436634/24,Concórdia,PRESIDENTE CASTELO BRANCO,CIDADE (CENTRO),Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,1,0,0,0,0
ARM 436633/24,Concórdia,PRESIDENTE CASTELO BRANCO,CIDADE (CENTRO),Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,5,0,0,0,0
ARM 436632/24,Concórdia,PRESIDENTE CASTELO BRANCO,CIDADE (CENTRO),Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,20,0,0,0,0
ARM 436631/24,Concórdia,CONCÓRDIA,FRAGOSOS,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,20,0,0,0,0
ARM 436630/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,10,0,0,0,0
ARM 436629/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,2,0,3,0,0
ARM 436628/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,40,0,0,0,0
ARM 436627/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,4,0,0,0,0
ARM 436626/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,2,0,0,0,0
ARM 436612/24,Blumenau,GASPAR,BATEIAS,Comércio,ARM - Armadilha,Armadilha,31/12/2024,06/01/2025,06/01/2025,8,0,0,0,0
ARM 436610/24,Blumenau,GASPAR,GASPAR MIRIM,Comércio,ARM - Armadilha,Armadilha,31/12/2024,06/01/2025,06/01/2025,32,0,38,0,0
ARM 436609/24,Blumenau,GASPAR,GASPARINHO,Comércio,ARM - Armadilha,Armadilha,31/12/2024,06/01/2025,06/01/2025,28,0,0,0,0
ARM 436607/24,Blumenau,GASPAR,BELA VISTA,Comércio,ARM - Armadilha,Armadilha,30/12/2024,06/01/2025,06/01/2025,19,0,0,0,0
ARM 436605/24,Blumenau,GASPAR,BELA VISTA,Residência,ARM - Armadilha,Armadilha,30/12/2024,06/01/2025,06/01/2025,12,0,0,0,0
