Semana,casos,focos,tmin,tmed,tmax,prec
2017-07-09,0.0,14.0,16.059171267918178,19.178300040108816,23.36127362932477,0.125
2017-07-16,0.0,8.0,9.562209469931464,14.148532594953265,20.50975854056222,5.75
2017-07-23,0.0,7.0,14.496502195085798,18.35540744236537,24.29364258902413,0.0
2017-07-30,0.0,8.0,15.412002290998188,18.558304241725377,23.68211337498256,46.5
2017-08-06,0.0,13.0,14.893745694841655,17.87255941118513,22.037641525268555,21.75
2017-08-13,0.0,12.0,15.6830780846732,18.35294451032366,21.842791148594447,24.0
2017-08-20,0.0,2.0,14.048007352011544,17.66030706678118,21.20428684779576,22.8125
2017-08-27,0.0,5.0,17.230747631617955,19.708251953125,23.675757271902903,0.0
2017-09-03,0.0,7.0,18.00600814819336,20.497309820992605,24.42998722621373,1.5
2017-09-10,0.0,7.0,19.058391298566544,21.58961704799108,25.348605837140763,0.0
2017-09-17,0.0,14.0,18.9072208404541,21.230389731270925,24.516063690185547,0.875
2017-09-24,0.0,8.0,18.061764580862864,20.05570929391044,23.08123861040388,87.75
2017-10-01,0.0,9.0,16.316397666931152,20.6534846169608,25.58059201921736,39.75
2017-10-08,0.0,11.0,18.96428789411272,21.24829701014928,24.45268331255232,29.375
2017-10-15,0.0,1.0,18.924054827008927,21.412706920078826,24.73728833879744,1.125
2017-10-22,0.0,6.0,17.621262005397252,21.00103896004813,25.19936834062849,29.0
2017-10-29,0.0,15.0,17.357164791652135,21.112239837646484,24.45207268851144,0.125
2017-11-05,0.0,6.0,18.08996868133545,21.25952311924525,24.691147123064315,60.375
2017-11-12,0.0,10.0,17.043760708400182,21.70306205749512,27.193164552961075,40.5625
2017-11-19,0.0,11.0,18.86068180629185,21.73073741367885,25.536043439592635,14.875
2017-11-26,0.0,14.0,19.42312949044364,22.45155198233468,26.1608156476702,26.125
2017-12-03,0.0,6.0,20.81958144051688,23.16416958400181,26.8724308013916,47.625
2017-12-10,0.0,10.0,20.80829756600516,23.74577876499721,28.00039373125349,0.25
2017-12-17,0.0,1.0,21.283770152500697,23.93393189566476,27.779965536934988,49.0625
2017-12-24,0.0,6.0,21.396380015781947,22.943003245762416,25.3277462550572,61.8125
2017-12-31,0.0,6.0,21.41208893912179,25.0287355695452,29.99585042681013,14.125
2018-01-07,0.0,18.0,20.858410699026926,22.9521963936942,26.2154723576137,167.375
