Semana,Município,Focos,latitude,longitude
2012-12-16,JOINVILLE,2,-26.244282225607027,-48.95140521079262
2012-12-16,MARAVILHA,1,-26.759973577360107,-53.19811282877847
2012-12-16,MASSARANDUBA,1,-26.626911300757143,-48.98819178964745
2012-12-16,PINHALZINHO,1,-26.829373480377633,-52.97663206995043
2012-12-16,PORTO BELO,1,-27.174795882021932,-48.61643450369326
2012-12-16,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-12-16,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-12-16,XAXIM,1,-26.97030880074372,-52.52910542362624
2012-12-23,BALNEÁRIO CAMBORIÚ,3,-27.004736811989282,-48.62174059290786
2012-12-23,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-12-23,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-12-23,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-12-23,JOINVILLE,3,-26.244282225607027,-48.95140521079262
2012-12-23,SÃO DOMINGOS,1,-26.53938727845183,-52.55460248576241
2012-12-23,XAXIM,3,-26.97030880074372,-52.52910542362624
2012-12-30,APIÚNA,1,-27.124502359730975,-49.364244600271256
2012-12-30,BALNEÁRIO CAMBORIÚ,1,-27.004736811989282,-48.62174059290786
2012-12-30,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-12-30,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-12-30,JOINVILLE,3,-26.244282225607027,-48.95140521079262
2012-12-30,PALHOÇA,1,-27.77182146966105,-48.66170819531588
2012-12-30,PINHALZINHO,1,-26.829373480377633,-52.97663206995043
2012-12-30,SÃO MIGUEL DO OESTE,2,-26.727236944731406,-53.51212123092325
2012-12-30,XAXIM,2,-26.97030880074372,-52.52910542362624
2013-01-06,BALNEÁRIO CAMBORIÚ,2,-27.004736811989282,-48.62174059290786
2013-01-06,CHAPECÓ,8,-27.125143757264095,-52.6503387011512
2013-01-06,DESCANSO,1,-26.858413595000634,-53.479300522303596
2013-01-06,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2013-01-06,ITAPEMA,2,-27.10858334921313,-48.63442695278928
2013-01-06,JOINVILLE,2,-26.244282225607027,-48.95140521079262
2013-01-06,PALHOÇA,1,-27.77182146966105,-48.66170819531588
2013-01-06,PINHALZINHO,2,-26.829373480377633,-52.97663206995043
2013-01-06,PORTO BELO,1,-27.174795882021932,-48.61643450369326
2013-01-06,SÃO JOÃO BATISTA,2,-27.3289283421727,-48.859015927042506
2013-01-06,SÃO MIGUEL DO OESTE,5,-26.727236944731406,-53.51212123092325
2013-01-06,XANXERÊ,11,-26.87227935615384,-52.409753977893864
2013-01-06,XAXIM,8,-26.97030880074372,-52.52910542362624
2013-01-13,CHAPECÓ,35,-27.125143757264095,-52.6503387011512
2013-01-13,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2013-01-13,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2013-01-13,SÃO MIGUEL DO OESTE,3,-26.727236944731406,-53.51212123092325
2013-01-13,XANXERÊ,1,-26.87227935615384,-52.409753977893864
2013-01-13,XAXIM,10,-26.97030880074372,-52.52910542362624
2013-01-20,APIÚNA,2,-27.124502359730975,-49.364244600271256
