Semana,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2002-03-31,14,12.297414,48.345238,12.9875,13.710227,7.1875,8.25463,49.125,47.460144,14.9375,14.208984,63.06111,67.825,6.8333335,33.05186,25.134106,45.02941,10.230769
2002-04-07,15,4.900862,2.1111112,2.50625,7.8977275,3.1354167,6.537037,3.7115386,7.512681,5.4270835,4.0253906,2.9833333,5.795,5.045139,1.0478723,1.0761589,2.1029413,7.423077
2002-04-14,16,28.443966,72.49802,47.653126,15.857955,18.010416,11.50463,57.490383,58.596016,17.975695,38.24414,49.933334,15.535,21.302084,20.799202,54.362583,22.625,35.46154
2002-04-21,17,5.6939654,1.5813493,1.9484375,11.1875,8.34375,18.73611,5.7884617,10.358696,5.9097223,3.0800781,2.8694444,2.25,5.8159723,0.4973404,5.4528146,2.9558823,4.9663463
2002-04-28,18,6.422414,8.0337305,11.378125,14.971591,1.8294271,17.680555,17.182692,10.345109,6.7447915,8.671875,20.522223,10.5125,2.2430556,15.03125,15.256622,10.9779415,4.298077
2002-05-05,19,20.49569,7.294643,7.5914063,10.505682,43.104168,15.851851,10.721154,19.389492,11.394097,14.258789,14.75,24.2375,21.70139,12.960107,5.836507,12.323529,20.210337
2002-05-12,20,104.74569,27.051588,66.94688,41.857956,122.171875,45.657406,28.134615,31.612318,38.03472,93.39844,26.833334,29.28,93.28125,46.393616,54.603477,24.580883,113.23317
2002-05-19,21,14.931034,3.5337303,8.207812,15.971591,35.734375,25.49537,4.701923,5.728261,12.09375,11.2421875,4.927778,11.01,26.5625,6.6781917,11.323675,7.1102943,24.411058
2002-05-26,22,15.88362,3.8809524,7.9734373,15.892045,24.234375,22.532408,0.8942308,3.9547102,14.222222,13.25,2.386111,1.165,20.368055,5.418883,11.874172,2.264706,11.497596
2002-06-02,23,44.068966,1.6726191,13.276563,20.289772,73.36198,49.055557,0.0,1.7934783,7.6319447,28.013672,0.21944444,0.655,74.50694,0.5890958,29.981789,0.0882353,50.85577
2002-06-09,24,53.86207,32.40278,52.29531,91.193184,48.95052,131.73148,32.39423,30.231884,59.61111,58.82617,32.383335,23.625,49.114582,27.360373,78.26408,28.058823,46.557693
2002-06-16,25,12.297414,2.5535715,3.9765625,2.465909,15.9713545,0.7777778,3.9807692,1.9655797,2.3263888,9.265625,3.3,9.935,14.072917,2.9295213,6.930464,5.022059,7.639423
2002-06-23,26,0.0,0.17460318,0.7953125,0.0,0.1484375,0.0,0.0,0.04347826,0.0,0.009765625,0.125,1.975,0.034722224,0.2805851,0.0033112583,0.15441176,0.16826923
2002-06-30,27,12.120689,15.5079365,20.28125,41.852272,5.1145835,50.050926,4.8461537,36.231884,39.243057,23.414062,5.463889,0.755,14.875,1.1382979,55.354305,2.2941177,13.28125
2002-07-07,28,1.9956896,1.4781746,1.7890625,3.4318182,1.9453125,3.5833333,2.625,2.8786232,3.375,4.03125,1.6888889,7.435,1.0520834,2.5026596,4.25,2.8455882,3.2427886
2002-07-14,29,0.004310345,0.87103176,0.0390625,0.2215909,0.0,0.28703704,0.28846154,1.0887681,0.5173611,0.01953125,1.3472222,2.655,0.0,0.25531915,0.26986754,3.3382354,0.0024038462
2002-07-21,30,28.806034,14.7837305,13.7734375,23.142046,30.033854,49.27778,11.951923,11.242754,13.048611,22.914062,12.744445,5.065,31.690971,14.716755,24.157286,7.595588,30.841347
2002-07-28,31,53.489223,61.99107,86.603905,40.613636,48.6237,39.26389,74.91827,44.160328,39.885418,67.23535,68.55556,69.6175,45.770832,88.44016,49.969784,78.66912,61.79327
2002-08-04,32,41.573277,35.24405,29.203125,8.272727,32.403645,5.0972223,37.201923,32.326088,15.607639,38.865234,31.380556,23.315,35.93403,23.021276,25.509106,24.558823,41.045673
2002-08-11,33,18.855604,18.916666,17.35703,12.948864,9.6432295,9.939815,19.51923,30.932066,19.336805,20.177734,22.790277,9.6925,17.802084,12.719415,21.81788,15.5404415,14.741587
2002-08-18,34,55.655174,24.140873,23.603125,34.1875,36.859375,57.62963,5.644231,26.35145,27.381945,46.810547,9.797222,8.615,39.84028,12.771276,61.11341,6.8897057,40.99279
2002-08-25,35,25.89224,4.922619,11.4625,0.7613636,33.489582,0.46296296,5.576923,2.5144928,1.3506944,22.423828,6.7083335,5.84,28.48264,6.925532,9.411424,4.2132354,30.61298
2002-09-01,36,34.88793,23.00397,32.559376,46.204544,18.291666,37.38889,27.961538,30.32971,46.9375,32.001953,27.905556,34.26,31.03125,35.01729,47.566227,35.169117,28.60577
2002-09-08,37,65.11638,35.585316,50.351562,22.5625,77.41927,20.11111,47.884617,23.981884,17.371529,53.365234,46.925,51.095,68.41319,49.48271,36.09437,47.691177,70.66586
2002-09-15,38,94.05173,44.88294,62.3375,22.897728,84.65365,18.48611,55.567307,31.731884,22.190971,84.18359,58.5,85.69,104.138885,80.70346,58.707783,66.742645,93.41827
2002-09-22,39,0.0,0.0,0.246875,0.03409091,0.0,0.41666666,0.0,0.030797102,0.0,0.0,0.0,0.03,0.0,0.005319149,0.02566225,0.014705882,0.0
2002-09-29,40,76.75431,20.156746,53.407814,35.36932,79.90885,50.00926,20.5,8.434783,19.274305,73.4707,22.483334,13.875,75.78819,43.849735,45.683773,21.279411,80.38942
2002-10-06,41,41.16379,31.0,24.679688,21.414772,49.101562,43.171295,6.9711537,18.219202,12.642361,21.56836,14.611111,8.84,66.75,16.148935,37.366722,19.147058,38.747597
2002-10-13,42,12.676724,16.956348,27.190624,32.789772,17.911459,35.10648,21.153847,23.02355,24.17014,26.851562,28.247223,12.0,15.847222,14.351064,29.716887,31.75,19.86298
2002-10-20,43,97.456894,40.315475,69.140625,38.210228,94.953125,43.65278,22.836538,28.722826,32.711807,91.865234,25.805555,14.365,109.611115,34.581116,67.92136,21.102942,108.72836
2002-10-27,44,64.63362,64.39881,54.782814,83.11364,66.79427,67.30093,81.80769,79.85507,85.99653,76.44141,76.53333,68.46,69.267365,43.93085,47.362583,71.0,51.43029
2002-11-03,45,38.21552,13.511905,22.335938,34.147728,39.289062,15.106482,12.173077,22.519928,37.44097,29.371094,19.191668,16.745,31.92014,20.242022,24.687914,17.742647,34.139423
2002-11-10,46,7.538793,23.323412,19.551563,4.556818,2.4739583,4.888889,25.317308,11.940217,5.5972223,13.955078,25.494444,42.41,3.0972223,33.240692,17.502483,30.830883,5.6201925
2002-11-17,47,53.081898,64.28571,36.478127,29.994318,54.901043,22.287037,37.846153,25.697464,23.4375,45.679688,44.65278,25.69,48.899307,37.43883,37.604305,44.52206,45.021633
2002-11-24,48,87.85992,75.80258,71.197655,78.482956,69.578125,104.26852,39.009617,57.078804,64.423615,96.20117,54.71528,44.45,68.03125,68.25199,95.21399,52.867645,92.00601
2002-12-01,49,56.65948,10.81746,45.1875,31.170454,60.26823,32.217594,39.721153,17.48913,18.565971,54.285156,17.358334,33.635,49.881943,32.784573,23.97351,35.09559,46.401443
2002-12-08,50,22.133621,4.855159,20.6,10.909091,9.729167,3.6805556,17.375,16.469202,14.215278,17.75586,8.188889,16.005,13.465278,8.656915,7.9428806,15.860294,15.048077
2002-12-15,51,40.581898,25.103174,12.8671875,28.65909,79.33594,18.472221,35.701923,18.643116,21.944445,22.65625,34.769444,38.32,60.65972,19.56649,17.003311,44.02206,42.146633
2002-12-22,52,62.719826,24.656746,33.7375,54.014206,92.421875,41.907406,29.48077,31.328804,30.67361,49.41211,30.311111,28.485,71.8316,30.28524,49.907284,28.474264,59.48918
2002-12-29,1,37.48707,13.853174,36.36875,18.363636,12.9453125,28.046297,33.317307,24.311594,19.70486,42.359375,21.247223,63.425,14.805555,24.523935,18.826159,37.816177,29.701923
